bedrooms,house_size,floor,city,price
4,1425,3,Bengaluru,503877
5,2947,1,,684538
3,2305,1,Bengaluru,590479
5,1469,1,Gurugram,508561
5,1594,1,Bengaluru,595891
2,2528,1,Bengaluru,569929
3,3751,2,Bengaluru,924558
3,3695,2,Bengaluru,901465
3,1904,2,Noida,350481
5,3864,1,Bengaluru,983069
4,3344,3,Bengaluru,898295
3,694,2,Noida,240938
5,727,3,Bengaluru,401862
2,1959,3,Bengaluru,554254
4,960,1,Gurugram,369826
2,1117,1,Gurugram,256223
4,3592,1,Bengaluru,948861
5,563,2,Bengaluru,373288
1,2712,1,Gurugram,487902
4,2574,2,Noida,448542
2,3882,2,Noida,511601
5,3559,2,Bengaluru,957474
4,,2,Bengaluru,360052
1,2183,1,Noida,239666
1,,2,Gurugram,469510
3,1337,1,Noida,268894
3,1330,1,Bengaluru,398692
2,1687,2,Noida,292472
4,3465,1,Noida,521176
4,723,3,Noida,308276
3,1283,1,Gurugram,372567
4,3717,1,Gurugram,749768
4,3512,,Noida,569501
1,1449,2,Bengaluru,353087
3,3601,1,Noida,511869
5,544,2,Gurugram,300490
3,2310,3,Bengaluru,619463
5,970,3,Gurugram,454728
1,,2,Gurugram,463626
2,3200,1,Noida,425172
,3998,3,Bengaluru,989185
1,,3,Gurugram,291213
4,2409,1,Bengaluru,673566
2,2768,2,Noida,372050
2,2391,3,Gurugram,465905
1,,,Bengaluru,686412
2,1191,1,Bengaluru,346780
5,1890,3,Noida,486291
2,1431,,Bengaluru,428714
4,1340,3,Gurugram,416210
4,3558,1,Gurugram,742846
4,2438,3,Noida,467739
4,2073,2,Gurugram,503714
5,3129,1,Gurugram,704991
3,3687,2,Gurugram,719766
1,2786,3,Noida,357458
,3906,3,Noida,619502
2,2988,2,Bengaluru,716533
4,647,3,Bengaluru,343080
2,1532,2,Bengaluru,468828
,,3,,315736
,887,2,Gurugram,341539
5,3621,2,Bengaluru,1002246
2,2373,1,Bengaluru,567575
,1415,1,Gurugram,322784
4,2378,2,Bengaluru,703613
2,3185,3,Bengaluru,778018
2,777,3,Bengaluru,260253
4,2477,3,Noida,538281
4,2359,2,Noida,479536
,3536,2,Gurugram,641050
5,3871,2,Gurugram,845527
5,2325,2,Noida,507435
2,3136,1,Noida,424329
5,2333,2,Bengaluru,725658
2,3196,3,Gurugram,624552
1,1117,1,Gurugram,209876
4,2130,3,Gurugram,563465
4,2682,2,Bengaluru,746438
4,1079,1,Bengaluru,433780
5,1670,2,Noida,466232
1,989,1,Bengaluru,255139
5,3025,3,Gurugram,749354
5,1682,2,,428021
1,883,2,Bengaluru,222973
1,662,1,Gurugram,192534
1,2988,1,Gurugram,523154
1,2376,2,Gurugram,423711
4,1712,,Gurugram,480728
3,2962,2,Gurugram,593972
3,1862,1,Bengaluru,541244
1,2130,3,Noida,297340
3,1704,1,Bengaluru,513810
3,787,3,Gurugram,330884
1,,1,Noida,324664
3,686,1,Noida,200823
5,2407,2,Gurugram,591145
2,1661,1,Gurugram,364064
2,629,1,Noida,176286
1,2741,3,Noida,331376
4,2863,1,Bengaluru,763384
1,2387,2,Noida,293292
4,643,3,Bengaluru,385300
2,515,2,Bengaluru,213550
1,3873,2,Gurugram,620872
5,2970,2,Gurugram,714211
3,744,2,Noida,244345
4,1426,3,Bengaluru,494557
3,3678,1,Noida,539607
3,3659,2,Gurugram,741594
1,2676,3,,474292
3,1406,2,Noida,280521
5,1386,1,Gurugram,462425
3,,3,Bengaluru,354033
1,2551,3,Gurugram,419491
,3898,1,Bengaluru,1049230
2,1933,3,Bengaluru,509100
3,805,1,Gurugram,281624
1,1407,3,Gurugram,285257
2,3154,3,Gurugram,588031
2,3796,1,Gurugram,677180
4,1871,1,Noida,386921
5,,3,Bengaluru,980648
3,820,3,Gurugram,285391
1,1058,1,Gurugram,229435
4,1704,1,Gurugram,490335
5,3165,3,Gurugram,737284
4,3258,3,,879263
5,1909,3,Gurugram,544446
,2141,1,Noida,481860
3,1631,3,Noida,347584
5,3078,2,Bengaluru,874020
4,2957,1,Gurugram,651895
5,3867,3,Bengaluru,1070705
3,1317,1,Noida,259552
3,1694,2,Noida,313563
4,3902,,Noida,611836
2,3040,3,Gurugram,587089
2,3766,2,Gurugram,683496
5,511,2,Noida,339959
1,694,3,,198188
5,3037,3,Gurugram,769852
4,3342,3,Noida,582098
4,3428,1,Gurugram,734714
4,2729,1,Bengaluru,754720
4,3509,1,Noida,558016
4,1155,3,Noida,345435
,2421,3,,547609
2,3887,1,Bengaluru,863265
4,3241,2,Bengaluru,873471
1,2577,1,Gurugram,441683
1,2119,2,Noida,289041
1,1619,3,Bengaluru,392246
1,3952,3,Bengaluru,857211
3,1277,1,Bengaluru,420014
1,943,1,Bengaluru,258145
4,797,3,Bengaluru,377321
5,1307,1,Bengaluru,547784
1,2260,3,Gurugram,445246
3,1344,3,Gurugram,349953
3,1515,2,Noida,305959
1,1884,1,Bengaluru,439124
5,1897,3,Bengaluru,666815
1,1053,1,Gurugram,260596
3,2850,2,Gurugram,600317
2,920,2,Noida,209671
4,1769,1,Noida,364139
3,1760,1,Noida,304292
1,684,3,Gurugram,179926
4,967,2,Bengaluru,454547
1,3301,2,Noida,395864
1,2910,2,Noida,345545
2,1806,1,Gurugram,389941
4,2076,,Noida,397488
4,835,1,Bengaluru,378585
2,2709,1,Gurugram,532837
3,3731,1,Noida,514148
1,1997,3,Noida,307077
5,3893,1,Noida,662493
1,2559,2,Gurugram,481408
1,1947,2,Noida,237173
3,3644,2,Gurugram,712985
1,1087,3,Gurugram,261492
2,2381,1,,318142
2,700,3,Noida,218941
4,1021,1,Gurugram,359553
,2387,2,Bengaluru,766192
1,3052,1,Bengaluru,674749
1,2211,1,Noida,309316
3,1287,1,Noida,262861
2,3610,3,Noida,497581
5,,1,Gurugram,313618
4,1077,1,Gurugram,379940
2,820,1,Bengaluru,280556
4,1958,3,Bengaluru,615898
3,3979,3,Noida,562224
3,2537,3,Gurugram,554042
1,1422,1,Bengaluru,346353
5,,2,Gurugram,562033
4,2194,,,587746
,1068,2,Bengaluru,351068
3,1601,1,Bengaluru,468462
,3765,2,Bengaluru,834587
1,3856,2,Noida,473226
4,1026,2,Gurugram,360780
3,3071,1,Noida,481143
5,3160,2,Gurugram,714265
3,3727,2,Noida,528852
4,3911,1,Bengaluru,963715
4,2672,3,Bengaluru,760178
3,1370,2,Gurugram,366027
4,779,3,Noida,299960
3,3464,2,Noida,532709
2,3169,1,Bengaluru,745611
3,3393,3,Gurugram,704956
3,2392,3,Bengaluru,690927
4,2251,3,Gurugram,609543
4,1173,3,Gurugram,403153
1,1651,2,Bengaluru,410894
1,2861,2,Gurugram,496054
2,831,3,Gurugram,274933
1,1673,2,Bengaluru,420993
3,2539,3,Noida,420689
4,1977,3,Noida,417432
1,535,1,Gurugram,167970
1,2208,3,Noida,289816
